"bf_prior_id","design_case_id","family","tier","bf_type","prior_form","analysis_prior","tags","rationale"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dpoint-0p2-usd1-long","z-dpoint-0p2-usd1-long","z","long","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dnorm-0p2-s0p1-usd1-long","z-dnorm-0p2-s0p1-usd1-long","z","long","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
"z-bf01-point-null0p2-pm0p5-psd0-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","normal","point","null=0.2;pm=0.5;psd=0","z;bf01;point-prior","shifted-null point alternative"
"z-bf01-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","normal","normal","null=0.2;pm=0.2;psd=0.707106781186547","z;bf01;normal-prior","shifted-null centered normal alternative"
"z-dirbf01-directional-normal-null0p2-pm0p2-psd0p70710678-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","directional","directional-normal","null=0.2;pm=0.2;psd=0.707106781186547","z;dirbf01;directional-normal-prior","shifted-null directional normal alternative"
"z-nmbf01-moment-null0p2-psd0p35355339-on-z-dnorm-0p2-s0p5-usd1-long","z-dnorm-0p2-s0p5-usd1-long","z","long","moment","moment","null=0.2;psd=0.353553390593274","z;nmbf01;moment-prior","shifted-null moment alternative"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-two-dpoint-0-short","t-two-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-two-dpoint-0-short","t-two-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=greater","t;tbf01;two.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-two-dpoint-0-short","t-two-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=less","t;tbf01;two.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-two-dpoint-0-short","t-two-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-two-dpoint-0-short","t-two-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-two-dpoint-0-short","t-two-dpoint-0-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-two-dpoint-0-short","t-two-dpoint-0-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-two-dpoint-0p5-short","t-two-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-two-dpoint-0p5-short","t-two-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=greater","t;tbf01;two.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-two-dpoint-0p5-short","t-two-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=less","t;tbf01;two.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-two-dpoint-0p5-short","t-two-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-two-dpoint-0p5-short","t-two-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-two-dpoint-0p5-short","t-two-dpoint-0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-two-dpoint-0p5-short","t-two-dpoint-0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-two-dnorm-0p5-s0p1-short","t-two-dnorm-0p5-s0p1-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-two-dnorm-0p5-s0p1-short","t-two-dnorm-0p5-s0p1-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=greater","t;tbf01;two.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-two-dnorm-0p5-s0p1-short","t-two-dnorm-0p5-s0p1-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=less","t;tbf01;two.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-two-dnorm-0p5-s0p1-short","t-two-dnorm-0p5-s0p1-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-two-dnorm-0p5-s0p1-short","t-two-dnorm-0p5-s0p1-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-two-dnorm-0p5-s0p1-short","t-two-dnorm-0p5-s0p1-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-two-dnorm-0p5-s0p1-short","t-two-dnorm-0p5-s0p1-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-two-dnorm-0p5-s0p5-short","t-two-dnorm-0p5-s0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-two-dnorm-0p5-s0p5-short","t-two-dnorm-0p5-s0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=greater","t;tbf01;two.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-two-dnorm-0p5-s0p5-short","t-two-dnorm-0p5-s0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=less","t;tbf01;two.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-two-dnorm-0p5-s0p5-short","t-two-dnorm-0p5-s0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-two-dnorm-0p5-s0p5-short","t-two-dnorm-0p5-s0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-two-dnorm-0p5-s0p5-short","t-two-dnorm-0p5-s0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-two-dnorm-0p5-s0p5-short","t-two-dnorm-0p5-s0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-one-dpoint-0-short","t-one-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=one.sample;alternative=two.sided","t;tbf01;one.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-one-dpoint-0-short","t-one-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=one.sample;alternative=greater","t;tbf01;one.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-one-dpoint-0-short","t-one-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=one.sample;alternative=less","t;tbf01;one.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-one-dpoint-0-short","t-one-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=one.sample;alternative=two.sided","t;tbf01;one.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-one-dpoint-0-short","t-one-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=one.sample;alternative=two.sided","t;tbf01;one.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-one-dpoint-0-short","t-one-dpoint-0-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=one.sample;alternative=two.sided","t;tbf01;one.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-one-dpoint-0-short","t-one-dpoint-0-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=one.sample;alternative=two.sided","t;tbf01;one.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-one-dpoint-0p5-short","t-one-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=one.sample;alternative=two.sided","t;tbf01;one.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-one-dpoint-0p5-short","t-one-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=one.sample;alternative=greater","t;tbf01;one.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-one-dpoint-0p5-short","t-one-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=one.sample;alternative=less","t;tbf01;one.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-one-dpoint-0p5-short","t-one-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=one.sample;alternative=two.sided","t;tbf01;one.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-one-dpoint-0p5-short","t-one-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=one.sample;alternative=two.sided","t;tbf01;one.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-one-dpoint-0p5-short","t-one-dpoint-0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=one.sample;alternative=two.sided","t;tbf01;one.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-one-dpoint-0p5-short","t-one-dpoint-0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=one.sample;alternative=two.sided","t;tbf01;one.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-paired-dpoint-0-short","t-paired-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=paired;alternative=two.sided","t;tbf01;paired;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-paired-dpoint-0-short","t-paired-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=paired;alternative=greater","t;tbf01;paired;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-paired-dpoint-0-short","t-paired-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=paired;alternative=less","t;tbf01;paired;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-paired-dpoint-0-short","t-paired-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=paired;alternative=two.sided","t;tbf01;paired;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-paired-dpoint-0-short","t-paired-dpoint-0-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=paired;alternative=two.sided","t;tbf01;paired;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-paired-dpoint-0-short","t-paired-dpoint-0-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=paired;alternative=two.sided","t;tbf01;paired;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-paired-dpoint-0-short","t-paired-dpoint-0-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=paired;alternative=two.sided","t;tbf01;paired;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-paired-dpoint-0p5-short","t-paired-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=paired;alternative=two.sided","t;tbf01;paired;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-paired-dpoint-0p5-short","t-paired-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=paired;alternative=greater","t;tbf01;paired;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-paired-dpoint-0p5-short","t-paired-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=paired;alternative=less","t;tbf01;paired;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-paired-dpoint-0p5-short","t-paired-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=paired;alternative=two.sided","t;tbf01;paired;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-paired-dpoint-0p5-short","t-paired-dpoint-0p5-short","t","short","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=paired;alternative=two.sided","t;tbf01;paired;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-paired-dpoint-0p5-short","t-paired-dpoint-0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=paired;alternative=two.sided","t;tbf01;paired;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-paired-dpoint-0p5-short","t-paired-dpoint-0p5-short","t","short","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=paired;alternative=two.sided","t;tbf01;paired;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-two-dpoint-m0p4-short","t-two-dpoint-m0p4-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-two-dpoint-m0p4-short","t-two-dpoint-m0p4-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=greater","t;tbf01;two.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-two-dpoint-m0p4-short","t-two-dpoint-m0p4-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=less","t;tbf01;two.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-two-dpoint-m0p4-short","t-two-dpoint-m0p4-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-two-dpoint-m0p4-short","t-two-dpoint-m0p4-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-two-dpoint-m0p4-short","t-two-dpoint-m0p4-short","t","adversarial","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-two-dpoint-m0p4-short","t-two-dpoint-m0p4-short","t","adversarial","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-two-dpoint-0-n2x1p1-short","t-two-dpoint-0-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-two-dpoint-0-n2x1p1-short","t-two-dpoint-0-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=greater","t;tbf01;two.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-two-dpoint-0-n2x1p1-short","t-two-dpoint-0-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=less","t;tbf01;two.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-two-dpoint-0-n2x1p1-short","t-two-dpoint-0-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-two-dpoint-0-n2x1p1-short","t-two-dpoint-0-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-two-dpoint-0-n2x1p1-short","t-two-dpoint-0-n2x1p1-short","t","adversarial","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df30-two-sided-on-t-two-dpoint-0-n2x1p1-short","t-two-dpoint-0-n2x1p1-short","t","adversarial","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=30;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","high-df Student-t two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-two-sided-on-t-two-dpoint-0p35-n2x1p1-short","t-two-dpoint-0p35-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","default Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-greater-on-t-two-dpoint-0p35-n2x1p1-short","t-two-dpoint-0p35-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=greater","t;tbf01;two.sample;cauchy;greater","default Cauchy greater one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p70710678-df1-less-on-t-two-dpoint-0p35-n2x1p1-short","t-two-dpoint-0p35-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.707106781186547;pdf=1;type=two.sample;alternative=less","t;tbf01;two.sample;cauchy;less","default Cauchy less one-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale0p35-df1-two-sided-on-t-two-dpoint-0p35-n2x1p1-short","t-two-dpoint-0p35-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=0.35;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","narrow Cauchy two-sided t-test prior"
"t-tbf01-cauchy-null0-loc0-scale1-df1-two-sided-on-t-two-dpoint-0p35-n2x1p1-short","t-two-dpoint-0p35-n2x1p1-short","t","adversarial","t","cauchy","null=0;plocation=0;pscale=1;pdf=1;type=two.sample;alternative=two.sided","t;tbf01;two.sample;cauchy;two.sided","wide Cauchy two-sided t-test prior"
"t-tbf01-student-t-null0-loc0-scale0p70710678-df3-two-sided-on-t-two-dpoint-0p35-n2x1p1-short","t-two-dpoint-0p35-n2x1p1-short","t","adversarial","t","student-t","null=0;plocation=0;pscale=0.707106781186547;pdf=3;type=two.sample;alternative=two.sided","t;tbf01;two.sample;student-t;two.sided","Student-t df=3 two-sided t-test prior"
